CustomerID,Name,Email,Phone,Country
1,Anjali Nair,user1@example.com,97612918246,India
2,Suresh Singh,user2@example.com,94877534700,India
3,Meera Singh,user3@example.com,96038268119,India
4,Vikram Verma,user4@example.com,94330447641,India
5,Rajesh Gupta,user5@example.com,95239620086,India
6,Neha Reddy,user6@example.com,99959299418,India
7,Rohit Chowdhury,user7@example.com,96560367442,India
8,Amit Iyer,user8@example.com,92493028326,India
9,Ritu Iyer,user9@example.com,99817076179,India
10,Suresh Singh,user10@example.com,96730614378,India
11,Meera Yadav,user11@example.com,98923912582,India
12,Karan Singh,user12@example.com,93508607314,India
13,Pooja Nair,user13@example.com,93199069461,India
14,Divya Gupta,user14@example.com,99374210496,India
15,Asha Reddy,user15@example.com,96535923686,India
16,Pooja Verma,user16@example.com,97105806246,India
17,Meera Nair,user17@example.com,99938062273,India
18,Sangeeta Chowdhury,user18@example.com,91745627107,India
19,Anjali Iyer,user19@example.com,99396721554,India
20,Manish Chowdhury,user20@example.com,98674068056,India
21,Anjali Verma,user21@example.com,96999809357,India
22,Karan Verma,user22@example.com,96249606253,India
23,Naveen Chowdhury,user23@example.com,95242184617,India
24,Vikram Verma,user24@example.com,99986460930,India
25,Meera Patel,user25@example.com,95413977589,India
26,Anjali Sharma,user26@example.com,92611168211,India
27,Rohit Singh,user27@example.com,93095518894,India
28,Sangeeta Sharma,user28@example.com,96841671924,India
29,Ritu Reddy,user29@example.com,93868061028,India
30,Divya Chowdhury,user30@example.com,93597242401,India
31,Rahul Gupta,user31@example.com,94272968654,India
32,Kavita Singh,user32@example.com,91318368061,India
33,Sangeeta Chowdhury,user33@example.com,97114372205,India
34,Arjun Singh,user34@example.com,99972260990,India
35,Priya Iyer,user35@example.com,91030479819,India
36,Anjali Iyer,user36@example.com,94888104683,India
37,Suresh Singh,user37@example.com,92859858174,India
38,Rajesh Chowdhury,user38@example.com,91147930361,India
39,Asha Iyer,user39@example.com,95117510635,India
40,Anjali Nair,user40@example.com,96014241888,India
41,Divya Singh,user41@example.com,91192995477,India
42,Ritu Chowdhury,user42@example.com,98982744186,India
43,Rajesh Yadav,user43@example.com,98100055890,India
44,Suresh Patel,user44@example.com,98320165163,India
45,Asha Reddy,user45@example.com,94048835195,India
46,Sangeeta Sharma,user46@example.com,92306212676,India
47,Manish Reddy,user47@example.com,91952910136,India
48,Pooja Patel,user48@example.com,91776636764,India
49,Asha Nair,user49@example.com,94618209096,India
50,Neha Verma,user50@example.com,98995784366,India
51,Rajesh Nair,user51@example.com,99528415155,India
